GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,PseudorangeRateMetersPerSecond,Constellation,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-04-13 16:53:58.426041+00:00,G10,14636001.86235392,-4863146.188584917,22089657.583485432,22746108.980517548,43.0,-472.5126037597656,G,2024-04-13 16:54:38.426042+00:00,4437014.406715919,3085098.161880765,3376309.5509898877,32.16874124389208,34.81125519293558,46.11153622251004
2024-04-13 16:53:58.426041+00:00,G21,23138878.23676249,-12053426.850679852,4461868.946749355,24085702.9395694,37.0,-468.0975646972656,G,2024-04-13 16:54:39.426042+00:00,4437024.834023096,3085091.364363205,3376319.4233610225,32.16879413141723,34.81113291083262,55.329858181998134
2024-04-13 16:53:58.426041+00:00,G27,25029555.842780422,4788391.20627442,8117365.672996037,21199848.672509614,43.7,213.426498413086,G,2024-04-13 16:54:40.426042+00:00,4437021.566565061,3085081.728923968,3376311.722954461,32.16877464065246,34.81106881263727,44.30300186853856
2024-04-13 16:53:58.426041+00:00,G32,-1635056.902467379,17337011.074830923,20162943.79003008,22842228.024640217,38.5,388.0905456542969,G,2024-04-13 16:54:41.426043+00:00,4437032.283637731,3085072.6747258315,3376319.3584798374,32.168815496093806,34.81092513286146,51.441312827169895
2024-04-13 16:53:58.426041+00:00,G08,15760519.923202902,1909317.744676874,21853172.775032032,21702519.874521032,49.6,-312.271484375,G,2024-04-13 16:54:42.426043+00:00,4437036.091495263,3085076.270427795,3376319.0040538954,32.16878792444328,34.810933385836734,55.636618486605585
2024-04-13 16:53:58.426041+00:00,G10,23095551.28989876,13303821.584728386,-3036813.836739284,22219141.80809034,39.2,574.5217895507812,G,2024-04-13 16:54:43.426043+00:00,4437033.192504652,3085075.2357210605,3376313.995186752,32.16876395321184,34.8109419249397,50.45502862147987
2024-04-13 16:53:58.426041+00:00,G27,5168012.804336533,25828300.01905459,-3440747.481322799,23753918.91393314,39.0,-473.6605529785156,G,2024-04-13 16:54:44.426043+00:00,4437033.83775518,3085067.0896756793,3376321.765841077,32.168843054334715,34.81086710983345,51.10426486004144
2024-04-13 16:53:58.426041+00:00,G32,7795619.632710135,17843871.06245401,18362920.514786515,21300055.612864207,47.8,282.1542358398437,G,2024-04-13 16:54:45.426043+00:00,4437029.054485644,3085062.3160595153,3376300.5075747273,32.16871271906226,34.810854506886415,34.155231348238885
2024-04-13 16:53:59.426041+00:00,G10,14636455.956279632,-4860494.7755844975,22089973.845984723,22745632.905619875,41.7,-472.41058349609375,G,2024-04-13 16:54:46.426043+00:00,4437055.309660768,3085072.9155089753,3376316.381436463,32.168701341721736,34.810787865248095,65.97568058688194
2024-04-13 16:53:59.426041+00:00,G21,23138513.668664727,-12052919.394425295,4465036.110353344,24085234.65189957,35.5,-468.7063293457031,G,2024-04-13 16:54:47.426043+00:00,4437049.1055408055,3085066.907275277,3376314.772770583,32.1687299866072,34.81077311473864,57.903985233046114
2024-04-13 16:53:59.426041+00:00,G27,25030399.842822723,4789039.760194566,8114461.181554461,21200060.6298071,46.1,213.1940155029297,G,2024-04-13 16:54:48.426043+00:00,4437057.864256564,3085073.213260711,3376317.6207367233,32.16869991553645,34.81077499564026,68.55482540652156
