GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-05-20 12:13:42.000999+00:00,G10,13891965.042232726,-6733511.204095881,21523482.546704873,22688594.860525224,38.31900024414063
2024-05-20 12:13:42.000999+00:00,G01,17397794.169855475,10903164.360777183,17234608.12587198,20563360.74740162,36.09700012207031
2024-05-20 12:13:42.000999+00:00,G21,26698734.696776398,-1012.2226711236872,2066945.9177152873,22705547.048727095,35.505001068115234
2024-05-20 12:13:42.000999+00:00,G32,-3196934.0289357724,23116972.737891473,12505124.043179406,23273916.556347314,37.48699951171875
2024-05-20 12:13:42.000999+00:00,G23,16334477.709116455,-16488966.260605583,12353507.60239998,24667596.38892741,36.667999267578125
2024-05-20 12:13:42.000999+00:00,G26,4770177.875925813,14403663.234849585,21842467.27715269,21603236.412066337,37.32699966430664
2024-05-20 12:13:42.000999+00:00,G15,23836866.76556904,5486050.203326407,-10941779.181740675,24484014.41111661,33.54800033569336
2024-05-20 12:13:42.000999+00:00,G16,18508891.152864225,5704171.151085442,18070166.33633837,20553165.784706917,38.33100128173828
2024-05-20 12:13:43.000999+00:00,G16,21899025.074085042,8770487.139310386,-12902946.15294816,24794598.76877071,32.96200180053711
2024-05-20 12:13:43.000999+00:00,G10,13893496.943670576,-6731215.910215637,21523255.043554544,22687112.99403331,38.27099990844727
2024-05-20 12:13:43.000999+00:00,G01,17395668.2713875,10903338.063673392,17236637.69822924,20562475.757564,36.220001220703125
2024-05-20 12:13:43.000999+00:00,G21,26699020.755299788,-756.7878345972858,2063810.2959385163,22705043.700195655,35.45899963378906
2024-05-20 12:13:43.000999+00:00,G32,-3197893.311941428,23118259.19679823,12502478.890781134,23273361.63775315,35.827999114990234
2024-05-20 12:13:43.000999+00:00,G23,16334147.974283211,-16487434.616732387,12356179.394671323,24666223.339675687,34.689998626708984
2024-05-20 12:13:43.000999+00:00,G26,4767424.492277298,14403854.231570655,21842923.863904256,21602716.271892462,34.152000427246094
2024-05-20 12:13:43.000999+00:00,G15,23835547.451731406,5486491.067824224,-10944432.382177118,24483591.10639311,33.54199981689453
2024-05-20 12:13:43.000999+00:00,G16,18510024.412932582,5706220.473200978,18068428.40514639,20552018.7770211,36.42499923706055
2024-05-20 12:13:44.000999+00:00,G16,21897461.334081963,8770721.645967163,-12905482.688079022,24794302.872619897,32.88399887084961
2024-05-20 12:13:44.000999+00:00,G10,13895028.95583104,-6728920.731145734,21523027.07874594,22685623.331656624,38.15900039672852
2024-05-20 12:13:44.000999+00:00,G01,17393542.130782016,10903511.909018574,17238666.91394196,20561582.374171644,35.69900131225586
2024-05-20 12:13:44.000999+00:00,G21,26699306.438800547,-501.39467804529704,2060674.6312682598,22704536.154886845,33.61899948120117
2024-05-20 12:13:44.000999+00:00,G32,-3198852.3555447683,23119545.421851605,12499833.470172472,23272846.59290652,35.066001892089844
2024-05-20 12:13:44.000999+00:00,G23,16333818.191510476,-16485902.650837092,12358850.916009637,24664841.294836715,34.680999755859375
2024-05-20 12:13:44.000999+00:00,G26,23834227.83521689,5486932.040228021,-10947085.355635388,24483189.082210142,36.8129997253418
2024-05-20 12:13:44.000999+00:00,G15,18511157.67338904,5708269.538063787,18066690.08637912,20550864.57548301,33.237998962402344
