GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-04-13 16:55:23.426043+00:00,G32,-1816032.6993407337,17450476.183469765,20045426.445691336,22876013.909327656,40.1,,,,,,,
2024-04-13 16:55:23.426043+00:00,G08,15798342.067349346,2131671.8755383017,21812698.68251617,21676445.0904084,39.5,,,,,,,
2024-04-13 16:55:23.426043+00:00,G10,23059161.563024823,13308780.144408977,-3301851.8607280264,22268415.929981835,44.8,,,,,,,
2024-04-13 16:55:23.426043+00:00,G27,5148570.433634397,25866193.35352475,-3173827.116140177,23714429.244292323,32.0,,,,,,,
2024-04-13 16:55:23.426043+00:00,G32,7614357.296273679,17771844.559930917,18508251.657136988,21325054.992612757,45.2,,,,,,,
2024-04-13 16:55:24.426043+00:00,G10,14675660.986974483,-4635105.791269464,22115209.89822118,22705809.82414461,43.7,,,,,,,
2024-04-13 16:55:24.426043+00:00,G21,23106431.92176612,-12008874.791247329,4733887.160885023,24045498.325613905,44.0,,,,,,,
2024-04-13 16:55:24.426043+00:00,G27,25101061.61207274,4843448.77447284,7866967.580061299,21218766.178992797,48.4,,,,,,,
2024-04-13 16:55:24.426043+00:00,G32,-1818152.2610832108,17451812.596982278,20044025.68037773,22876421.92902372,40.2,,,,,,,
2024-04-13 16:55:24.426043+00:00,G08,15798793.31955464,2134283.6840551905,21812203.54293092,21676150.704757977,43.1,,,,,,,
2024-04-13 16:55:24.426043+00:00,G10,23058718.594486058,13308832.42527276,-3304967.1005013385,22269007.73598461,42.9,,,,,,,
2024-04-13 16:55:24.426043+00:00,G27,5148340.925775228,25866622.862508163,-3170683.893350786,23713979.861752115,35.1,,,,,,,
2024-04-13 16:55:24.426043+00:00,G32,7612214.38308512,17770998.74799663,18509944.93201679,21325364.070733026,46.9,,,,,,,
2024-04-13 16:55:25.426043+00:00,G10,14676129.357600596,-4632454.014383804,22115487.41934903,22705346.348304145,42.1,,,,,,,
2024-04-13 16:55:25.426043+00:00,G21,23106041.677190337,-12008345.859514885,4737045.819203551,24045042.9511052,43.8,,,,,,,
2024-04-13 16:55:25.426043+00:00,G27,25101880.191918224,4844080.474351279,7864048.768926731,21219000.29806681,47.2,,,,,,,
2024-04-13 16:55:25.426043+00:00,G32,-1820271.5993525293,17453149.044542328,20042624.492352925,22876816.16304776,43.5,,,,,,,
2024-04-13 16:55:25.426043+00:00,G08,15799244.71741956,2136895.395003673,21811707.96247216,21675852.096154857,44.2,,,,,,,
2024-04-13 16:55:25.426043+00:00,G10,23058275.280152265,13308884.566781878,-3308082.271993874,22269603.10183181,41.6,,,,,,,
2024-04-13 16:55:25.426043+00:00,G27,5148111.3983956175,25867051.99245031,-3167540.6028386806,23713503.780378766,37.7,,,,,,,
2024-04-13 16:55:25.426043+00:00,G32,7610071.228747153,17770152.973693706,18511637.822115075,21325666.27346751,44.0,,,,,,,
2024-04-13 16:55:26.426043+00:00,G10,14676597.89398112,-4629802.236126388,22115764.48979177,22704889.46864599,38.5,,,,,,,
2024-04-13 16:55:26.426043+00:00,G21,23105651.13586446,-12007816.67651856,4740204.3756981045,24044583.98185164,38.5,,,,,,,
2024-04-13 16:55:26.426043+00:00,G27,25102698.47443812,4844711.979709103,7861129.793963258,21219236.546067383,45.1,,,,,,,
2024-04-13 16:55:26.426043+00:00,G32,-1822390.7138923537,17454485.525957238,20041222.881789077,22877227.46338475,35.6,,,,,,,
2024-04-13 16:55:26.426043+00:00,G08,15799696.260920584,2139507.008294785,21811211.941158865,21675552.615040857,49.5,,,,,,,
2024-04-13 16:55:26.426043+00:00,G10,23057831.6199914,13308936.568988826,-3311197.3752840324,22270188.31165228,35.4,,,,,,,
2024-04-13 16:55:26.426043+00:00,G27,5147881.851508036,25867480.743227765,-3164397.2455449137,23713084.37731264,32.7,,,,,,,
2024-04-13 16:55:26.426043+00:00,G32,7607927.833379365,17769307.23710242,18513330.32733263,21325972.943457738,44.6,,,,,,,
2024-04-13 16:55:27.426043+00:00,G10,14677066.596123204,-4627150.456487486,22116041.10955285,22704430.80906562,38.4,,,,,,,
2024-04-13 16:55:27.426043+00:00,G21,23105260.297835745,-12007287.24222982,4743362.830259762,24044125.29180156,42.0,,,,,,,
2024-04-13 16:55:27.426043+00:00,G27,25103516.459617395,4845343.290599226,7858210.655144171,21219465.88378173,36.6,,,,,,,
2024-04-13 16:55:27.426043+00:00,G32,-1824509.6046338256,17455822.04115295,20039820.84873406,22877660.08788782,30.3,,,,,,,
2024-04-13 16:55:27.426043+00:00,G08,15800147.95003526,2142118.5238454263,21810715.4790089,21675254.913849063,51.0,,,,,,,
2024-04-13 16:55:27.426043+00:00,G10,23057387.614027984,13308988.431940231,-3314312.4100498804,22270788.17965565,37.3,,,,,,,
2024-04-13 16:55:27.426043+00:00,G27,5147652.284981334,25867909.11498485,-3161253.820448419,23712617.89355905,36.2,,,,,,,
2024-04-13 16:55:27.426043+00:00,G32,7605784.196980187,17768461.53825517,18515022.44766601,21326278.4617336,46.8,,,,,,,
2024-04-13 16:55:28.426043+00:00,G10,14677535.464030849,-4624498.675475204,22116317.278633837,22703964.017683785,40.5,,,,,,,
2024-04-13 16:55:28.426043+00:00,G21,23104869.163153693,-12006757.556623776,4746521.182760128,24043672.604626387,42.1,,,,,,,
2024-04-13 16:55:28.426043+00:00,G27,25104334.14739743,4845974.407041131,7855291.352598303,21219695.25639652,37.6,,,,,,,
2024-04-13 16:55:28.426043+00:00,G32,-1826628.2720750188,17457158.590412766,20038418.39286076,22878038.1281098,30.8,,,,,,,
2024-04-13 16:55:28.426043+00:00,G08,15800599.784748243,2144729.9416141617,21810218.57603225,21674956.89855335,50.4,,,,,,,
2024-04-13 16:55:28.426043+00:00,G10,23056943.26221788,13309040.155690214,-3317427.37645398,22271380.893069748,38.8,,,,,,,
2024-04-13 16:55:28.426043+00:00,G27,5147422.698800589,25868337.107648835,-3158110.328119195,23712152.317216784,34.3,,,,,,,
2024-04-13 16:55:28.426043+00:00,G32,10440585.625000242,20557421.852082293,-13037597.364556031,24712827.080332667,31.1,,,,,,,
2024-04-13 16:55:28.426043+00:00,G08,7603640.319553497,17767615.877186395,18516714.183107577,21326577.94223412,45.5,,,,,,,
2024-04-13 16:55:29.426043+00:00,G10,14678004.49767123,-4621846.8933056,22116592.99701465,22703506.23061431,44.8,,,,,,,
2024-04-13 16:55:29.426043+00:00,G21,23104477.73187066,-12006227.619678978,4749679.433049127,24043233.703123227,36.4,,,,,,,
2024-04-13 16:55:29.426043+00:00,G27,25105151.53769713,4846605.329036463,7852371.886535135,21219939.88050161,44.2,,,,,,,
2024-04-13 16:55:29.426043+00:00,G32,-1828746.7157049405,17458495.173383445,20037015.514509823,22878428.453285072,40.5,,,,,,,
2024-04-13 16:55:29.426043+00:00,G08,15801051.765045425,2147341.261566736,21809721.232237555,21674655.637517136,45.2,,,,,,,
2024-04-13 16:55:29.426043+00:00,G10,23056498.564562447,13309091.74028761,-3320542.274339397,22271975.386406057,35.4,,,,,,,
2024-04-13 16:55:29.426043+00:00,G27,5147193.09291738,25868764.721209727,-3154966.768667658,23711691.801437657,38.7,,,,,,,
2024-04-13 16:55:29.426043+00:00,G32,10440417.191288048,20559072.46514041,-13035049.41197463,24712281.446958464,29.3,,,,,,,
2024-04-13 16:55:29.426043+00:00,G08,7601496.201198327,17766770.253968127,18518405.533574525,21326879.830864683,44.6,,,,,,,
2024-04-13 16:55:30.426043+00:00,G10,14678473.69705434,-4619195.109952813,22116868.264700416,22703047.256930023,39.7,,,,,,,
2024-04-13 16:55:30.426043+00:00,G21,25105968.630529903,4847236.056659914,7849452.256826643,21220180.31655444,48.3,,,,,,,
2024-04-13 16:55:30.426043+00:00,G27,-1830864.9354934543,17459831.79001515,20035612.213703725,22878829.876798827,40.8,,,,,,,
2024-04-13 16:55:30.426043+00:00,G32,15801503.89088719,2149952.483521602,21809223.447661515,21674365.125815053,48.0,,,,,,,
2024-04-13 16:55:30.426043+00:00,G08,23056053.52105944,13309143.185782008,-3323657.103573484,22272578.25584688,33.3,,,,,,,
2024-04-13 16:55:30.426043+00:00,G10,5146963.467278967,25869191.955665138,-3151823.1421489352,23711235.229407743,39.3,,,,,,,
2024-04-13 16:55:30.426043+00:00,G27,10440248.82983768,20560722.771361858,-13032501.179364612,24711690.268515963,27.9,,,,,,,
2024-04-13 16:55:30.426043+00:00,G32,7599351.841970292,17765924.668655336,18520096.499018315,21327186.50085491,52.4,,,,,,,
2024-04-13 16:55:31.426043+00:00,G10,14678943.06217371,-4616543.32548376,22117143.08168661,22702587.375834413,44.0,,,,,,,
2024-04-13 16:55:31.426043+00:00,G21,25106785.425859302,4847866.589948149,7846532.463522526,21220415.37794021,47.6,,,,,,,
2024-04-13 16:55:31.426043+00:00,G27,-1832982.93145324,17461168.44028496,20034208.490436617,22879235.174260914,41.0,,,,,,,
2024-04-13 16:55:31.426043+00:00,G32,15801956.162278904,2152563.6075568395,21808725.22229132,21674069.518649388,46.8,,,,,,,
2024-04-13 16:55:31.426043+00:00,G08,23055608.13166359,13309194.49222787,-3326771.864325344,22273167.0604122,37.7,,,,,,,
2024-04-13 16:55:31.426043+00:00,G10,5146733.820034385,25869618.814354435,-3148679.4239948555,23708433.34811358,51.7,,,,,,,
2024-04-13 16:55:31.426043+00:00,G27,7597207.241867711,17765079.121280253,18521787.07943568,21327492.29833425,31.5,,,,,,,
2024-04-13 16:55:32.426043+00:00,G10,14679412.59301575,-4613891.540005507,22117417.44796458,22702131.40358758,41.7,,,,,,,
2024-04-13 16:55:32.426043+00:00,G21,23103301.65869047,-12004636.300262043,4759153.571150533,24041887.368144028,29.9,,,,,,,
2024-04-13 16:55:32.426043+00:00,G27,25107601.92362144,4848496.928915912,7843612.506771083,21220653.9991704,45.0,,,,,,,
2024-04-13 16:55:32.426043+00:00,G32,-1835100.7036321657,17462505.124192376,20032804.344679117,22879632.09561849,41.2,,,,,,,
2024-04-13 16:55:32.426043+00:00,G08,15802408.579206096,2155174.63363606,21808226.55613598,21673766.12868661,45.8,,,,,,,
